redeem_id,user_id,redeem_date,token_earned,redeem_prize_type,redeem_price_score,token_remained
81,81,2023-01-01 03:59:16,1508,metal_straw,400,1108
82,82,2023-01-01 07:07:40,856,metal_straw,400,456
83,83,2023-01-01 11:52:11,1161,metal_straw,400,761
84,84,2023-01-01 12:32:44,1380,metal_straw,400,980
85,85,2023-01-01 16:25:05,789,metal_straw,400,389
86,86,2023-01-01 13:30:10,878,metal_straw,400,478
87,87,2023-01-01 08:13:14,636,towel,100,536
88,88,2023-01-01 12:15:47,1367,metal_straw,400,967
89,89,2023-01-01 12:22:43,856,metal_straw,400,456
90,90,2023-01-01 15:45:10,826,metal_straw,400,426
91,91,2023-01-01 02:04:07,615,metal_straw,400,215
92,92,2023-01-01 09:30:39,715,metal_straw,400,315
93,93,2023-01-01 06:52:18,550,towel,100,450
94,94,2023-01-01 11:26:11,804,metal_straw,400,404
95,95,2023-01-01 14:51:06,750,metal_straw,400,350
96,96,2023-01-01 04:58:40,716,metal_straw,400,316
97,97,2023-01-01 07:54:31,647,metal_straw,400,247
98,98,2023-01-01 16:46:41,1096,metal_straw,400,696
99,99,2023-01-01 12:49:32,995,metal_straw,400,595
100,100,2023-01-01 11:53:17,637,metal_straw,400,237
